epoch,loss,acc
1,3.564773536961654,0.14444706357758622
2,3.0662391679040315,0.20270406788793102
3,2.773529558346189,0.24779431573275862
4,2.6757965786703704,0.2757357893318966
5,2.5993372530772767,0.2967318830818966
6,2.528670399353422,0.31287883890086204
7,2.4581132202312865,0.32916049299568967
8,2.3948134718270135,0.34480233028017243
9,2.33693501044964,0.35847420528017243
10,2.2850669951274476,0.37217975484913796
11,2.236748983120096,0.38264412715517243
12,2.193537340081971,0.39336947737068967
13,2.1545227971570244,0.4020490975215517
14,2.1168380626316727,0.411376953125
15,2.0821680406044267,0.41970299030172414
16,2.0518731659856337,0.4268588362068966
17,2.0204651016613533,0.4337957974137931
18,1.9923984058972062,0.4401939655172414
19,1.9639217781609501,0.44825902478448276
20,1.937585555273911,0.45135708512931033
21,1.9108822160753711,0.4598094019396552
22,1.8886660882111252,0.4647006330818966
23,1.8617209350240642,0.47063577586206895
24,1.8403158167312885,0.47618366109913796
25,1.8170669397403454,0.48102438038793105
26,1.7923092636568794,0.4878855738146552
27,1.7710874450617824,0.49352606411637934
28,1.750400082818393,0.49744073275862066
29,1.726049073811235,0.5046134159482759
30,1.7068745524718845,0.5076609644396551
31,1.6901040693809246,0.5132088496767241
32,1.669051489953337,0.5177212419181034
33,1.6498273015022278,0.5225114493534483
34,1.6284760267570102,0.5273353313577587
35,1.6145870325894192,0.5308964170258621
36,1.5952760042815373,0.534600619612069
37,1.5767720886345566,0.5410492995689655
38,1.5569699293580548,0.5463530441810345
39,1.5425275297000491,0.5494763604525862
40,1.5198269537810623,0.5546369881465517
41,1.5020549091799507,0.5593430091594828
42,1.4906525796857373,0.5618854391163793
43,1.4736890371503502,0.5677869073275862
44,1.4548238598067185,0.5732674434267241
45,1.4407149388872345,0.5753805226293104
46,1.4273129290547864,0.5795814251077587
47,1.40924668517606,0.5830835802801724
48,1.397679745123304,0.5876212284482759
49,1.3818762076312099,0.592352505387931
50,1.3740179240703583,0.5924872036637931
51,1.355362206697464,0.5980435075431034
